stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
1167,Leigh & Blossom Hill,LEIGH + BLOSSOM HILL,37.236438,-121.922506,,False,1,3,29,5,3,47,19,13,32,2.04,1.26,1.25,0.25,0.75,0.75,624,373
1836,Hacienda & Walnut,HACIENDA + WALNUT,37.269072,-121.958513,,False,1,2,23,10,13,47,19,13,32,2.04,1.0,2.5,0.25,3.25,0.5,819,294
1114,Blossom Hill & Eagles,BLOSSOM HILL + EAGLES,37.251286,-121.822051,,False,4,8,100,12,0,46,19,13,31,2.0,4.35,3.0,1.0,0.0,2.0,666,1265
2897,Los Gatos & Caldwell,LOS GATOS + CALDWELL,37.22716,-121.968105,D7,True,7,4,39,4,3,45,19,13,32,1.96,1.7,1.0,1.75,0.75,1.0,591,576
2699,Winchester & Daves,WINCHESTER + DAVES,37.240436,-121.976643,D5,True,0,1,22,0,3,44,19,13,32,1.91,0.96,0.0,0.0,0.75,0.25,526,258
1747,Samaritan & Winton,SAMARITAN + WINTON,37.250563,-121.941846,D6,True,0,1,12,3,7,44,19,13,31,1.91,0.52,0.75,0.0,1.75,0.25,617,146
1064,University & Royce,UNIVERSITY + ROYCE,37.225412,-121.980787,D1,True,0,0,12,0,0,43,0,0,32,1.87,0.52,0.0,0.0,0.0,0.0,477,133
1827,Winchester & Albright,WINCHESTER + ALBRIGHT,37.256509,-121.965346,D3,True,0,1,24,2,0,41,19,13,32,1.78,1.04,0.5,0.0,0.0,0.25,480,278
1092,Blossom Hill & Drysdale,BLOSSOM HILL + DRYSDALE,37.236257,-121.907398,,False,1,1,55,12,8,37,19,13,31,1.61,2.39,3.0,0.25,2.0,0.25,671,635
1096,Blossom Hill & Vassar,BLOSSOM HILL + VASSAR,37.240475,-121.892713,,False,2,8,35,10,7,36,19,13,31,1.57,1.52,2.5,0.5,1.75,2.0,621,518
1151,Blossom Hill & Sanchez,BLOSSOM HILL + SANCHEZ,37.250699,-121.871001,,False,8,8,92,1,0,36,19,13,32,1.57,4.0,0.25,2.0,0.0,2.0,413,1228
1164,Blossom Hill & Harwood,BLOSSOM HILL + HARWOOD,37.236338,-121.91328,,False,8,7,135,4,6,35,19,13,32,1.52,5.87,1.0,2.0,1.5,1.75,518,1692
1743,Los Gatos & Del Sol,LOS GATOS + WALKER,37.25033,-121.954578,D6,True,3,0,43,5,5,35,19,13,30,1.52,1.87,1.25,0.75,1.25,0.0,518,516
1119,Cottle & Coronado,COTTLE + CORONADO,37.247311,-121.80413,,False,15,12,85,6,6,35,19,13,31,1.52,3.7,1.5,3.75,1.5,3.0,544,1294
1123,Cottle & Beswick,COTTLE + BESWICK,37.245633,-121.804132,,False,8,13,131,5,2,32,19,13,31,1.39,5.7,1.25,2.0,0.5,3.25,445,1726
1152,Blossom Hill & Almaden (Sutter Health),BLOSSOM HILL + ALMADEN (SUTTER HEALTH),37.250974,-121.874343,,False,21,16,188,5,1,31,19,13,32,1.35,8.17,1.25,5.25,0.25,4.0,422,2564
3305,Santa Teresa & Miyuki,SANTA TERESA + MIYUKI,37.236923,-121.79444,,False,0,0,1,7,5,31,19,13,32,1.35,0.04,1.75,0.0,1.25,0.0,500,10
2795,Los Gatos & Los Gatos-Almaden (Chirco),LOS GATOS + LG-ALMADEN / CHIRCO,37.241314,-121.960178,D6,True,11,3,58,3,3,31,19,13,30,1.35,2.52,0.75,2.75,0.75,0.75,422,825
1061,Santa Cruz & Nicholson,SANTA CRUZ + NICHOLSON,37.226048,-121.982318,D1,True,0,0,157,0,0,30,0,0,30,1.3,6.83,0.0,0.0,0.0,0.0,332,1742
1832,Pollard & Bracebridge,POLLARD + BRACEBRIDGE,37.265147,-121.973107,,False,2,3,34,4,1,30,19,13,32,1.3,1.48,1.0,0.5,0.25,0.75,396,442
1159,Blossom Hill & Vassar,BLOSSOM HILL + VASSAR,37.240607,-121.892925,,False,7,9,95,3,8,30,19,13,32,1.3,4.13,0.75,1.75,2.0,2.25,474,1261
2700,Winchester & Vineland,WINCHESTER + VINELAND,37.243749,-121.975162,D4,True,0,1,61,2,0,29,19,13,32,1.26,2.65,0.5,0.0,0.0,0.25,347,689
1816,Samaritan & Union,SAMARITAN + UNION,37.25073,-121.932244,,False,6,0,115,0,7,27,19,14,32,1.17,5.0,0.0,1.5,1.75,0.0,389,1353
1094,Blossom Hill & Park Crest,BLOSSOM HILL + PARK CREST,37.237805,-121.898625,,False,0,0,8,0,4,27,19,13,31,1.17,0.35,0.0,0.0,1.0,0.0,350,89
2698,Santa Cruz & Blossom Hill,SANTA CRUZ + BLOSSOM HILL,37.23625,-121.97733,D7,True,11,2,39,9,0,27,19,13,32,1.17,1.7,2.25,2.75,0.0,0.5,415,602
1835,Hacienda & Capri,HACIENDA + CAPRI,37.269084,-121.961761,,False,1,0,3,4,6,26,19,13,32,1.13,0.13,1.0,0.25,1.5,0.0,418,46
1751,Union & Carlton,UNION + CARLTON,37.248009,-121.931383,,False,1,4,20,3,0,26,19,13,31,1.13,0.87,0.75,0.25,0.0,1.0,327,287
2701,Winchester & Milani,WINCHESTER + MILANI,37.2465,-121.972805,D4,True,0,0,41,2,3,26,19,13,32,1.13,1.78,0.5,0.0,0.75,0.0,353,454
2896,Los Gatos & Nino,LOS GATOS + NINO,37.230625,-121.965574,D7,True,7,7,44,4,1,25,19,13,32,1.09,1.91,1.0,1.75,0.25,1.75,343,669
1117,Blossom Hill & Beswick,BLOSSOM HILL + BESWICK,37.25136,-121.808372,,False,7,4,77,0,0,25,19,13,31,1.09,3.35,0.0,1.75,0.0,1.0,278,997
2895,Los Gatos & Roberts,LOS GATOS + ROBERTS,37.232738,-121.96459,D7,True,3,1,52,4,7,24,19,13,32,1.04,2.26,1.0,0.75,1.75,0.25,408,628
1834,Hacienda & Gay,HACIENDA + GAY,37.269062,-121.966717,,False,1,3,46,3,4,24,19,13,32,1.04,2.0,0.75,0.25,1.0,0.75,356,562
1748,Samaritan & Cooper,SAMARITAN + COOPER,37.25058,-121.93815,D6,True,2,2,10,3,1,23,19,13,31,1.0,0.43,0.75,0.5,0.25,0.5,307,162
