stop_id,stop_name,main_cross_street,stop_lat,stop_lon,district_hits,in_geofence,saturday_alightings_monthly,sunday_alightings_monthly,weekday_alightings_monthly,saturday_boardings_monthly,sunday_boardings_monthly,weekday_boardings_monthly,saturday_trips_observed_monthly,sunday_trips_observed_monthly,weekday_trips_observed_monthly,weekday_boardings,weekday_alightings,saturday_boardings,saturday_alightings,sunday_boardings,sunday_alightings,annual_boardings,annual_alightings
2795,Los Gatos & Los Gatos-Almaden (Chirco),LOS GATOS + LG-ALMADEN / CHIRCO,37.241314,-121.960178,D6,True,11,3,58,3,3,31,19,13,30,1.35,2.52,0.75,2.75,0.75,0.75,422,825
1061,Santa Cruz & Nicholson,SANTA CRUZ + NICHOLSON,37.226048,-121.982318,D1,True,0,0,157,0,0,30,0,0,30,1.3,6.83,0.0,0.0,0.0,0.0,332,1742
2700,Winchester & Vineland,WINCHESTER + VINELAND,37.243749,-121.975162,D4,True,0,1,61,2,0,29,19,13,32,1.26,2.65,0.5,0.0,0.0,0.25,347,689
2698,Santa Cruz & Blossom Hill,SANTA CRUZ + BLOSSOM HILL,37.23625,-121.97733,D7,True,11,2,39,9,0,27,19,13,32,1.17,1.7,2.25,2.75,0.0,0.5,415,602
2701,Winchester & Milani,WINCHESTER + MILANI,37.2465,-121.972805,D4,True,0,0,41,2,3,26,19,13,32,1.13,1.78,0.5,0.0,0.75,0.0,353,454
2896,Los Gatos & Nino,LOS GATOS + NINO,37.230625,-121.965574,D7,True,7,7,44,4,1,25,19,13,32,1.09,1.91,1.0,1.75,0.25,1.75,343,669
2895,Los Gatos & Roberts,LOS GATOS + ROBERTS,37.232738,-121.96459,D7,True,3,1,52,4,7,24,19,13,32,1.04,2.26,1.0,0.75,1.75,0.25,408,628
1748,Samaritan & Cooper,SAMARITAN + COOPER,37.25058,-121.93815,D6,True,2,2,10,3,1,23,19,13,31,1.0,0.43,0.75,0.5,0.25,0.5,307,162
2792,Los Gatos & Fillmer,LOS GATOS + FILLMER,37.227071,-121.968004,D7,True,3,8,25,6,7,23,19,13,30,1.0,1.09,1.5,0.75,1.75,2.0,424,421
2784,Winchester & Daves,WINCHESTER + DAVES,37.23975,-121.977014,D5,True,5,1,57,0,2,22,19,13,30,0.96,2.48,0.0,1.25,0.5,0.25,271,710
1740,Winchester & Albright,WINCHESTER + ALBRIGHT,37.255433,-121.966333,D3,True,2,0,22,4,4,18,19,13,30,0.78,0.96,1.0,0.5,1.0,0.0,303,271
1824,Los Gatos & Bennett,LOS GATOS + BENNETT,37.249677,-121.955327,D6,True,7,3,38,1,2,17,19,13,32,0.74,1.65,0.25,1.75,0.5,0.75,228,551
1065,Los Gatos-Saratoga & University,SARATOGA-LOS GATOS + UNIVERSITY,37.228756,-121.980271,D1,True,25,18,27,12,16,13,19,13,32,0.57,1.17,3.0,6.25,4.0,4.5,509,857
2787,Los Gatos & Simons,LOS GATOS + SIMONS,37.222994,-121.971516,D7,True,0,0,9,0,0,12,0,0,32,0.52,0.39,0.0,0.0,0.0,0.0,133,99
2780,Winchester & La Rinconada,WINCHESTER + LA RINCONADA,37.25104,-121.969176,D4,True,0,0,6,0,1,10,19,13,30,0.43,0.26,0.0,0.0,0.25,0.0,123,66
2703,Winchester & La Rinconada,WINCHESTER + LA RINCONADA,37.250631,-121.969297,D4,True,0,1,18,0,0,10,19,13,32,0.43,0.78,0.0,0.0,0.0,0.25,110,212
2697,Los Gatos & Stacia,LOS GATOS + STACIA,37.223,-121.971331,D7,True,0,0,29,0,0,8,0,0,30,0.35,1.26,0.0,0.0,0.0,0.0,89,321
1822,Samaritan & Medical Center,SAMARITAN + MEDICAL CENTER,37.252288,-121.950083,D6,True,1,0,8,0,0,3,19,13,32,0.13,0.35,0.0,0.25,0.0,0.0,33,102
1818,Samaritan & Cooper,SAMARITAN + COOPER,37.250699,-121.938904,D6,True,1,0,52,1,0,3,19,14,32,0.13,2.26,0.25,0.25,0.0,0.0,46,589
1819,Samaritan & Clydelle,SAMARITAN + CLYDELLE,37.250672,-121.940729,D6,True,1,5,26,2,2,2,19,14,32,0.09,1.13,0.5,0.25,0.5,1.25,75,366
2781,Winchester & Eaton,WINCHESTER + EATON,37.249616,-121.970506,D4,True,0,0,2,0,0,2,19,13,30,0.09,0.09,0.0,0.0,0.0,0.0,23,23
2702,Winchester & Wild,WINCHESTER + WILD,37.249537,-121.970271,D4,True,0,0,6,0,1,1,19,13,32,0.04,0.26,0.0,0.0,0.25,0.0,23,66
2786,Los Gatos-Saratoga & Village Lane,SARATOGA-LOS GATOS + VILLAGE,37.228452,-121.980226,D1,True,56,68,0,23,12,0,19,13,0,0.0,0.0,5.75,14.0,3.0,17.0,455,1612
