stop_id,stop_name,stop_lat,stop_lon,s_coord_ft,s_coord_mi,district_id,zone_type,status,priority,is_existing,is_mandatory,is_school_stop,wheelchair_boarding,walk_buffer_ft,raw_walkshed_pop,marginal_walkshed_pop,equity_walkshed_pop,tdi,equity_priority,est_new_riders_daily,est_annual_boardings,annual_benefit_usd,capital_cost_usd,pv_benefits_usd,pv_total_costs_usd,net_pv_usd,bcr_20yr,fta_cei_per_user_hr,gap_before_ft,gap_after_ft,justification,data_sources
R27_OSM_2657050044,Los Gatos-Saratoga Road,37.22903442,-121.98093414,28155.0,5.332,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1880,1880,820.12,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 2657050044 (degree=3)
R27_FORCE_002,Downtown Los Gatos (N. Santa Cruz & Main),37.2249,-121.9806,28904.0,5.474,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,2096,2096,914.54,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS existing stop; VTA Route 27 GTFS stop_times.txt
R27_OSM_65382445,Los Gatos-Saratoga Road,37.22593843037461,-121.97279519490807,30823.0,5.838,,suburban,NEW_IN_SELECTION,—,False,False,False,1,2640.0,2804,2804,1021.58,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65382445 (degree=3)
R27_OSM_65566980,Fillmer Avenue; Los Gatos Boulevard,37.226827260732826,-121.96830314426734,32501.0,6.155,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1223,1223,332.15,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65566980 (degree=6)
R27_OSM_360010720,Los Gatos Boulevard,37.22998004187598,-121.96565203308835,33893.0,6.419,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,1284,1284,348.63,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 360010720 (degree=4)
R27_OSM_65531981,Los Gatos Boulevard; Mitchell Avenue,37.23229599,-121.96455383,34796.0,6.59,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65531981 (degree=6)
R27_OSM_4556191447,Los Gatos Boulevard,37.23313881787669,-121.96416747179275,35123.0,6.652,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 4556191447 (degree=3)
R27_OSM_2031016791,Los Gatos Boulevard,37.236214898834255,-121.96269167066622,36325.0,6.88,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 2031016791 (degree=3)
R27_OSM_360010711,Los Gatos Boulevard,37.24059462054972,-121.9606014553514,38034.0,7.203,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 360010711 (degree=3)
2894,Los Gatos & Garden (New Town Center),37.243107,-121.959676,38973.0,7.381,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
2797,Los Gatos & Village Square,37.244547,-121.958614,39591.0,7.498,,suburban,EXISTING_KEEP,—,True,True,False,1,,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,VTA GTFS stops.txt
R27_OSM_65493269,Garden Lane; Los Gatos Boulevard,37.246164708705116,-121.95766838076513,40241.0,7.621,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 65493269 (degree=6)
R27_OSM_11245168962,Los Gatos Boulevard,37.24910991192684,-121.95556935161763,41485.0,7.857,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 11245168962 (degree=3)
R27_OSM_11245168966,Los Gatos Boulevard; Walker Street,37.250470433923454,-121.95450862254046,42069.0,7.968,,suburban,EXISTING_KEEP,—,True,True,False,1,2640.0,0,0,0.0,0.2,False,0,0,0,0,0,0,0,,,,,Existing VTA stop or selected via spacing algorithm.,OSM node 11245168966 (degree=6)
