route_id,source_route_id,seq,lat,lon
OPT_01,,139,37.24503,-121.888449
OPT_01,,140,37.244774,-121.888625
OPT_01,,141,37.243881,-121.889149
OPT_01,,142,37.243192,-121.889547
OPT_01,,143,37.242512,-121.88992
OPT_01,,144,37.241928,-121.890386
OPT_01,,145,37.241038,-121.891786
OPT_01,,146,37.240976,-121.89191
OPT_01,,147,37.240188,-121.891196
OPT_01,,148,37.239857,-121.89174
OPT_01,,149,37.239539,-121.892306
OPT_01,,150,37.239181,-121.892955
OPT_01,,151,37.239319,-121.89308
OPT_01,,152,37.239503,-121.893248
OPT_01,,153,37.239651,-121.893422
OPT_01,,154,37.239526,-121.893752
OPT_01,,155,37.239374,-121.894087
OPT_01,,156,37.239227,-121.894409
OPT_01,,157,37.239091,-121.89461
OPT_01,,158,37.239001,-121.894591
OPT_01,,159,37.238801,-121.894994
OPT_01,,160,37.239104,-121.895235
OPT_01,,161,37.238801,-121.894994
OPT_01,,162,37.239001,-121.894591
OPT_01,,163,37.238728,-121.894373
OPT_01,,164,37.238465,-121.894162
OPT_01,,165,37.238243,-121.893978
OPT_01,,166,37.237989,-121.894456
OPT_01,,167,37.238617,-121.895267
OPT_01,,168,37.239171,-121.895692
OPT_01,,169,37.239247,-121.895806
OPT_01,,170,37.238746,-121.896906
OPT_01,,171,37.238373,-121.897731
OPT_01,,172,37.238172,-121.898076
OPT_01,,173,37.237734,-121.899017
OPT_01,,174,37.237356,-121.899841
OPT_01,,175,37.236998,-121.900618
OPT_01,,176,37.236375,-121.903444
OPT_01,,177,37.236374,-121.903633
OPT_01,,178,37.236374,-121.90394
OPT_01,,179,37.23637,-121.904316
OPT_01,,180,37.236365,-121.904879
OPT_01,,181,37.236356,-121.905778
OPT_01,,182,37.235602,-121.905895
OPT_01,,183,37.234503,-121.906138
OPT_01,,184,37.233761,-121.906049
OPT_01,,185,37.23345,-121.907004
OPT_01,,186,37.233439,-121.907898
OPT_01,,187,37.233443,-121.910775
OPT_01,,188,37.232719,-121.910775
OPT_01,,189,37.23271,-121.908801
OPT_01,,190,37.232719,-121.910775
OPT_01,,191,37.232009,-121.910763
OPT_01,,192,37.231292,-121.910758
OPT_01,,193,37.230598,-121.908894
OPT_01,,194,37.231292,-121.910758
OPT_01,,195,37.232009,-121.910763
OPT_01,,196,37.232719,-121.910775
OPT_01,,197,37.233443,-121.910775
OPT_01,,198,37.233455,-121.911679
OPT_01,,199,37.233393,-121.912955
OPT_01,,200,37.233823,-121.91501
OPT_01,,201,37.233202,-121.915709
OPT_01,,202,37.232554,-121.916365
OPT_01,,203,37.231824,-121.916923
OPT_01,,204,37.231171,-121.917472
OPT_01,,205,37.231843,-121.919502
OPT_01,,206,37.23244,-121.920665
OPT_01,,207,37.233203,-121.921758
OPT_01,,208,37.233462,-121.922583
OPT_01,,209,37.234982,-121.922947
OPT_01,,210,37.235068,-121.923528
OPT_01,,211,37.235327,-121.924576
OPT_01,,212,37.23617,-121.924358
OPT_01,,213,37.236168,-121.925532
OPT_01,,214,37.236164,-121.926202
OPT_01,,215,37.236168,-121.925532
OPT_01,,216,37.23617,-121.924358
OPT_01,,217,37.236197,-121.922628
OPT_01,,218,37.236198,-121.92204
OPT_01,,219,37.236201,-121.92174
OPT_01,,220,37.236203,-121.921627
OPT_01,,221,37.236206,-121.921335
OPT_01,,222,37.236209,-121.921124
OPT_01,,223,37.23621,-121.921002
OPT_01,,224,37.236212,-121.920746
OPT_01,,225,37.236213,-121.920464
OPT_01,,226,37.236214,-121.92036
OPT_01,,227,37.236216,-121.920055
OPT_01,,228,37.236217,-121.919934
OPT_01,,229,37.236219,-121.91964
OPT_01,,230,37.23622,-121.919543
OPT_01,,231,37.23622,-121.919522
OPT_01,,232,37.236222,-121.919224
OPT_01,,233,37.236222,-121.919112
OPT_01,,234,37.236224,-121.918919
OPT_01,,235,37.236226,-121.918622
OPT_01,,236,37.236227,-121.917732
OPT_01,,237,37.236232,-121.917061
OPT_01,,238,37.236232,-121.916956
OPT_01,,239,37.236235,-121.916702
OPT_01,,240,37.236244,-121.915798
OPT_01,,241,37.236244,-121.915762
OPT_01,,242,37.236245,-121.915534
OPT_01,,243,37.236248,-121.914923
OPT_01,,244,37.23625,-121.914463
OPT_01,,245,37.236254,-121.9139
OPT_01,,246,37.236256,-121.913743
OPT_01,,247,37.236265,-121.913301
OPT_01,,248,37.236269,-121.912994
OPT_01,,249,37.237739,-121.913013
OPT_01,,250,37.23901,-121.913026
