timestamp,school,grade,current_mode,currently_rides_bus,would_ride_bus,n_total_columns
2026-01-13 11:04:09.712,,7th,I walk,,,18
2026-01-13 11:04:14.462,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:04:19.346,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:04:28.368,entrance,7th,A parent/guardian drives me,No,Busses made safer,18
2026-01-13 11:04:30.051,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:04:33.296,,7th,I walk,,,18
2026-01-13 11:04:40.198,school,7th,I carpool with another family,No,Arrives at my house at a better time,18
2026-01-13 11:04:46.136,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:04:55.317,Near Leigh High School,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:04:56.448,,7th,I bike/skate/scooter,,,18
2026-01-13 11:05:07.371,,7th,I walk,,,18
2026-01-13 11:05:09.615,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:05:10.512,,7th,I walk,,,18
2026-01-13 11:05:12.253,union/los gatos,7th,A parent/guardian drives me,No,i did not know the bus stop near our school,18
2026-01-13 11:05:12.577,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:05:48.375,,7th,I walk,,,18
2026-01-13 11:06:14.215,Taft,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:06:16.721,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:06:38.865,,7th,I bike/skate/scooter,,,18
2026-01-13 11:06:47.969,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:06:51.191,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:06:58.000,,7th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 11:07:00.429,,7th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:07:00.734,ums,7th,A parent/guardian drives me,Yes,Stops nearer my house,18
2026-01-13 11:07:32.363,,7th,I carpool with another family,Yes,I have no interest in taking the bus,18
2026-01-13 11:07:54.190,Tesoro Court near Leigh. I cannot get home later than 3,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:08:02.149,I don't know,7th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 11:08:04.827,,7th,A parent/guardian drives me,No,,18
2026-01-13 11:08:31.941,School,7th,A parent/guardian drives me,No,Subsidized/free bus passes provided,18
2026-01-13 11:08:41.826,The side gate of Union and front gate,7th,A parent/guardian drives me,No,Stops nearer my house,18
2026-01-13 11:08:55.093,,7th,A parent/guardian drives me,No,I have no interest in taking the bus,18
2026-01-13 11:11:52.116,Across the street from my middle school,7th,A parent/guardian drives me,Yes,Stops nearer my house,18
2026-01-13 11:15:28.752,,6th,I bike/skate/scooter,,,18
2026-01-13 11:44:33.192,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:45:58.820,,6th,I bike/skate/scooter,,,18
2026-01-13 11:46:10.892,,6th,I walk,,,18
2026-01-13 11:46:17.156,,6th,I walk,,,18
2026-01-13 11:46:29.684,,6th,I bike/skate/scooter,,,18
2026-01-13 11:46:34.740,,6th,A parent/guardian drives me,Yes,I have no interest in taking the bus,18
2026-01-13 11:46:39.481,,6th,I walk,,,18
2026-01-13 11:46:40.783,,6th,I walk,,,18
